geo_type,region,transportation_type,alternative_name,sub-region,country,date,count
city,Wichita,driving,NA,Kansas,United States,2020-07-03,165.27
city,Wichita,driving,NA,Kansas,United States,2020-07-04,125.4
city,Wichita,driving,NA,Kansas,United States,2020-07-05,112.65
city,Wichita,driving,NA,Kansas,United States,2020-07-06,150.66
city,Wichita,driving,NA,Kansas,United States,2020-07-07,155.66
city,Wichita,driving,NA,Kansas,United States,2020-07-08,155.95
city,Wichita,driving,NA,Kansas,United States,2020-07-09,160.99
city,Wichita,driving,NA,Kansas,United States,2020-07-10,182.89
city,Wichita,driving,NA,Kansas,United States,2020-07-11,173.17
city,Wichita,driving,NA,Kansas,United States,2020-07-12,124.12
city,Wichita,driving,NA,Kansas,United States,2020-07-13,147.69
city,Wichita,driving,NA,Kansas,United States,2020-07-14,152.39
city,Wichita,driving,NA,Kansas,United States,2020-07-15,155.85
city,Wichita,driving,NA,Kansas,United States,2020-07-16,160.31
city,Wichita,driving,NA,Kansas,United States,2020-07-17,183.63
city,Wichita,driving,NA,Kansas,United States,2020-07-18,169.62
city,Wichita,driving,NA,Kansas,United States,2020-07-19,122.84
city,Wichita,driving,NA,Kansas,United States,2020-07-20,146.11
city,Wichita,driving,NA,Kansas,United States,2020-07-21,151.98
city,Wichita,driving,NA,Kansas,United States,2020-07-22,154.71
city,Wichita,driving,NA,Kansas,United States,2020-07-23,159.98
city,Wichita,driving,NA,Kansas,United States,2020-07-24,178.96
city,Wichita,driving,NA,Kansas,United States,2020-07-25,177.73
city,Wichita,driving,NA,Kansas,United States,2020-07-26,128.88
city,Wichita,driving,NA,Kansas,United States,2020-07-27,146.7
city,Wichita,driving,NA,Kansas,United States,2020-07-28,153.11
city,Wichita,driving,NA,Kansas,United States,2020-07-29,153.79
city,Wichita,driving,NA,Kansas,United States,2020-07-30,160.59
city,Wichita,driving,NA,Kansas,United States,2020-07-31,198.93
city,Wichita,driving,NA,Kansas,United States,2020-08-01,188.79
city,Wichita,driving,NA,Kansas,United States,2020-08-02,130.9
city,Wichita,driving,NA,Kansas,United States,2020-08-03,156.61
city,Wichita,driving,NA,Kansas,United States,2020-08-04,162.47
city,Wichita,driving,NA,Kansas,United States,2020-08-05,158.06
city,Wichita,driving,NA,Kansas,United States,2020-08-06,166.32
city,Wichita,driving,NA,Kansas,United States,2020-08-07,183.3
city,Wichita,driving,NA,Kansas,United States,2020-08-08,176.19
city,Wichita,driving,NA,Kansas,United States,2020-08-09,128.84
city,Wichita,driving,NA,Kansas,United States,2020-08-10,152.85
city,Wichita,driving,NA,Kansas,United States,2020-08-11,159.2
city,Wichita,driving,NA,Kansas,United States,2020-08-12,157.62
city,Wichita,driving,NA,Kansas,United States,2020-08-13,167.42
city,Wichita,driving,NA,Kansas,United States,2020-08-14,187.24
city,Wichita,driving,NA,Kansas,United States,2020-08-15,177.34
city,Wichita,driving,NA,Kansas,United States,2020-08-16,126.69
city,Wichita,driving,NA,Kansas,United States,2020-08-17,147.96
city,Wichita,driving,NA,Kansas,United States,2020-08-18,151.08
city,Wichita,driving,NA,Kansas,United States,2020-08-19,152.62
city,Wichita,driving,NA,Kansas,United States,2020-08-20,161.8
city,Wichita,driving,NA,Kansas,United States,2020-08-21,181.69
city,Wichita,driving,NA,Kansas,United States,2020-08-22,172.44
city,Wichita,driving,NA,Kansas,United States,2020-08-23,125.61
city,Wichita,driving,NA,Kansas,United States,2020-08-24,144.21
city,Wichita,driving,NA,Kansas,United States,2020-08-25,145.46
city,Wichita,driving,NA,Kansas,United States,2020-08-26,148.85
city,Wichita,driving,NA,Kansas,United States,2020-08-27,154.79
city,Wichita,driving,NA,Kansas,United States,2020-08-28,177.85
city,Wichita,driving,NA,Kansas,United States,2020-08-29,166.85
city,Wichita,driving,NA,Kansas,United States,2020-08-30,119.5
city,Wichita,driving,NA,Kansas,United States,2020-08-31,137.56
city,Wichita,driving,NA,Kansas,United States,2020-09-01,146.89
city,Wichita,driving,NA,Kansas,United States,2020-09-02,149.2
city,Wichita,driving,NA,Kansas,United States,2020-09-03,158.78
city,Wichita,driving,NA,Kansas,United States,2020-09-04,183.95
city,Wichita,driving,NA,Kansas,United States,2020-09-05,163.26
city,Wichita,driving,NA,Kansas,United States,2020-09-06,124.4
city,Wichita,driving,NA,Kansas,United States,2020-09-07,115.38
city,Wichita,driving,NA,Kansas,United States,2020-09-08,138.26
city,Wichita,driving,NA,Kansas,United States,2020-09-09,133.51
city,Wichita,driving,NA,Kansas,United States,2020-09-10,144.94
city,Wichita,driving,NA,Kansas,United States,2020-09-11,170.55
city,Wichita,driving,NA,Kansas,United States,2020-09-12,173.59
city,Wichita,driving,NA,Kansas,United States,2020-09-13,121.53
